Date,Number of Joints,Mass (grams),Time of First Use
03/28/2021,6,2.1,02:00 PM
03/29/2021,3,1.05,02:00 PM
03/30/2021,6,2.1,10:00 AM
03/31/2021,6,2.1,10:00 AM
04/01/2021,5,1.75,10:00 AM
04/02/2021,5,1.75,02:00 PM
04/03/2021,5,1.75,02:00 PM
04/04/2021,4,1.4,10:00 AM
04/05/2021,6,2.1,10:00 AM
04/06/2021,4,1.4,02:00 PM
04/07/2021,5,1.75,02:00 PM
04/08/2021,5,1.75,02:00 PM
04/09/2021,5,1.75,02:00 PM
04/10/2021,7.5,2.625,10:00 AM
04/11/2021,4,1.4,02:00 PM
04/12/2021,4,1.4,02:00 PM
04/13/2021,4,1.4,02:00 PM
04/14/2021,3,1.05,02:00 PM
04/15/2021,2.5,0.875,10:00 AM
04/16/2021,4,1.4,02:00 PM
04/17/2021,2.5,0.875,02:00 PM
04/18/2021,4,1.4,10:00 AM
04/19/2021,4,1.4,02:00 PM
04/20/2021,4,1.4,10:00 AM
04/21/2021,3,1.05,02:00 PM
04/22/2021,3,1.05,02:00 PM
04/23/2021,3,1.05,02:00 PM
04/24/2021,3,1.05,02:00 PM
04/25/2021,4,1.4,02:00 PM
04/26/2021,5,1.75,02:00 PM
04/27/2021,4,1.4,10:00 AM
04/28/2021,3,1.05,02:00 PM
04/29/2021,3.5,1.225,10:00 AM
04/30/2021,3.5,1.225,10:00 AM
05/01/2021,2,0.7,02:00 PM
05/02/2021,5.5,1.925,10:00 AM
05/03/2021,6,2.1,10:00 AM
05/04/2021,6,2.1,10:00 AM
05/05/2021,3,1.05,02:00 PM
05/06/2021,5,1.75,02:00 PM
05/07/2021,4,1.4,02:00 PM
05/08/2021,5,1.75,02:00 PM
05/09/2021,3,1.05,02:00 PM
05/10/2021,4,1.4,02:00 PM
05/11/2021,4,1.4,02:00 PM
05/12/2021,4,1.4,05:00 PM
05/13/2021,3,1.05,05:00 PM
05/14/2021,3,1.05,05:00 PM
05/15/2021,3,1.05,01:00 PM
05/16/2021,4,1.4,05:00 PM
05/17/2021,3,1.05,05:00 PM
05/18/2021,3,1.05,05:00 PM
05/19/2021,3,1.05,05:00 PM
05/20/2021,3,1.05,05:00 PM
05/21/2021,3,1.05,05:00 PM
05/22/2021,3,1.05,05:00 PM
05/23/2021,3,1.05,01:00 PM
05/24/2021,3,1.05,05:00 PM
05/25/2021,3,1.05,05:00 PM
05/26/2021,3,1.05,05:00 PM
05/27/2021,3,1.05,05:00 PM
05/28/2021,3,1.05,05:00 PM
05/29/2021,3,1.05,01:00 PM
05/30/2021,3,1.05,05:00 PM
05/31/2021,3,1.05,05:00 PM
06/01/2021,3,1.05,05:00 PM
06/02/2021,3,1.05,05:00 PM
06/03/2021,2,0.7,05:00 PM
06/04/2021,3,1.05,05:00 PM
06/05/2021,2,0.7,05:00 PM
06/06/2021,2,0.7,05:00 PM
06/07/2021,2,0.7,05:00 PM
06/08/2021,2,0.7,05:00 PM
06/09/2021,2.5,0.875,05:00 PM
06/10/2021,3,1.05,05:00 PM
06/11/2021,2,0.7,05:00 PM
06/12/2021,2,0.7,05:00 PM
06/13/2021,3,1.05,05:00 PM
06/14/2021,2,0.7,
06/15/2021,2,0.7,10:09 PM
06/16/2021,2.5,0.875,
06/17/2021,2,0.7,
06/18/2021,3,1.05,03:15 PM
06/19/2021,3,1.05,10:48 AM
06/20/2021,2,0.7,
06/21/2021,4.5,1.575,11:10 AM
06/22/2021,3,1.05,08:20 AM
06/23/2021,2,0.7,08:15 AM
06/24/2021,2,0.7,08:15 AM
06/25/2021,3,1.05,03:35 PM
06/26/2021,2,0.7,02:40 PM
06/27/2021,4,1.4,10:36 AM
06/28/2021,3,1.05,
06/29/2021,4,1.4,08:15 AM
06/30/2021,3,1.05,08:20 AM
07/01/2021,2,0.7,12:40 PM
07/02/2021,4,1.4,12:00 PM
07/03/2021,4,1.4,12:30 PM
07/04/2021,3,1.05,08:10 PM
07/05/2021,2,0.7,08:10 PM
07/06/2021,2,0.7,06:12 PM
07/07/2021,2.5,0.875,05:30 PM
07/08/2021,2,0.7,08:06 PM
07/09/2021,2.5,0.875,06:58 PM
07/10/2021,2,0.7,11:20 AM
07/11/2021,3,1.05,04:15 PM
07/12/2021,3,1.05,05:10 PM
07/13/2021,3,1.05,12:15 PM
07/14/2021,4,1.4,12:30 PM
07/15/2021,3,1.05,12:15 PM
07/16/2021,4,1.4,08:20 AM
07/17/2021,4,1.4,11:00 AM
07/18/2021,3,1.05,12:00 PM
07/19/2021,3,1.05,08:15 AM
07/20/2021,3,1.05,08:20 AM
07/21/2021,3,1.05,08:35 AM
07/22/2021,4,1.4,08:20 AM
07/23/2021,3,1.05,03:45 PM
07/24/2021,3,1.05,11:30 AM
07/25/2021,3,1.05,02:15 PM
07/26/2021,2,0.7,05:00 PM
07/27/2021,2,0.7,10:00 PM
07/28/2021,3,1.05,05:00 PM
07/29/2021,3,1.05,09:00 PM
07/30/2021,3,1.05,
07/31/2021,4,1.4,
08/01/2021,4,1.4,
08/02/2021,3,1.05,
08/03/2021,3,1.05,
08/04/2021,3,1.05,
08/05/2021,3,1.05,
08/06/2021,3,1.05,
08/07/2021,3,1.05,04:30 PM
08/08/2021,,,
08/09/2021,,,
08/10/2021,,,
08/11/2021,,,
08/12/2021,4,1.4,08:25 AM
08/13/2021,5,1.75,08:30 AM
08/14/2021,6,2.1,01:00 PM
08/15/2021,3,1.05,01:00 PM
08/16/2021,3,1.05,08:20 AM
08/17/2021,3,1.05,08:15 AM
08/18/2021,3,1.05,
08/19/2021,3,1.05,07:00 PM
08/20/2021,4,1.4,05:00 PM
08/21/2021,5,1.75,11:30 AM
08/22/2021,4,1.4,03:30 PM
08/23/2021,4,1.4,12:30 PM
08/24/2021,4,1.4,08:30 AM
08/25/2021,4,1.4,09:30 PM
08/26/2021,4,1.4,02:00 PM
08/27/2021,3,1.05,02:30 PM
08/28/2021,3,1.05,04:00 PM
08/29/2021,3,1.05,11:00 AM
08/30/2021,3,1.05,02:00 PM
08/31/2021,3,1.05,12:00 PM
09/01/2021,3,1.05,01:52 PM
09/02/2021,4,1.4,11:05 AM
09/03/2021,4,1.4,01:30 PM
09/04/2021,4,1.4,05:55 PM
09/05/2021,3,1.05,12:50 PM
09/06/2021,3,1.05,
09/07/2021,3,1.05,05:45 PM
09/08/2021,4,1.4,12:00 PM
09/09/2021,4,1.4,07:40 PM
09/10/2021,5,1.75,01:30 PM
09/11/2021,4,1.4,03:50 PM
09/12/2021,4,1.4,12:00 PM
09/13/2021,3,1.05,09:15 PM
09/14/2021,3,0.9,03:25 PM
09/15/2021,3,0.9,02:25 PM
09/16/2021,2,0.6,10:45 PM
09/17/2021,2,0.6,03:30 PM
09/18/2021,3,0.9,03:00 PM
09/19/2021,2,0.65,07:10 PM
09/20/2021,2,0.7,08:15 PM
09/21/2021,3,1.05,03:20 PM
09/22/2021,2,0.7,06:00 PM
09/23/2021,2,0.7,07:00 PM
09/24/2021,3,1.05,04:15 PM
09/25/2021,4,1.4,02:50 PM
09/26/2021,3,1.05,07:10 PM
09/27/2021,2,0.7,07:50 PM
09/28/2021,2,0.7,07:25 PM
09/29/2021,3,1.05,05:40 PM
09/30/2021,2,0.7,10:00 PM
10/01/2021,3,1.05,08:10 PM
10/02/2021,3,1.05,05:25 PM
10/03/2021,2,0.7,07:50 PM
10/04/2021,2,0.7,08:15 PM
10/05/2021,2,0.7,06:30 PM
